token,lemma,part_of_speech,case,gender,number,tense,aspect,person
книгами,книга,noun,instrumental,feminine,plural,,,
читаю,читать,verb,,,singular,present,imperfective,first
красивого,красивый,adjective,genitive,masculine,singular,,,
люди,человек,noun,nominative,masculine,plural,,,
лучшего,лучший,adjective,genitive,masculine,singular,,,
стола,стол,noun,genitive,masculine,singular,,,
столы,стол,noun,nominative,masculine,plural,,,
городе,город,noun,prepositional,masculine,singular,,,
окна,окно,noun,nominative,neuter,plural,,,
машине,машина,noun,prepositional,feminine,singular,,,
друзей,друг,noun,genitive,masculine,plural,,,
большая,большой,adjective,nominative,feminine,singular,,,
большого,большой,adjective,genitive,masculine,singular,,,
русские,русский,adjective,nominative,,plural,,,
русскими,русский,adjective,instrumental,,plural,,,
синее,синий,adjective,nominative,neuter,singular,,,
старую,старый,adjective,accusative,feminine,singular,,,
умного,умный,adjective,genitive,masculine,singular,,,
интересной,интересный,adjective,genitive,feminine,singular,,,
добрые,добрый,adjective,nominative,,plural,,,
читал,читать,verb,,,singular,past,imperfective,
читали,читать,verb,,,plural,past,imperfective,
пишу,писать,verb,,,singular,present,imperfective,first
пишет,писать,verb,,,singular,present,imperfective,third
говорим,говорить,verb,,,plural,present,imperfective,first
сказал,сказать,verb,,,singular,past,perfective,
сделают,сделать,verb,,,plural,future,perfective,third
видела,видеть,verb,,,singular,past,imperfective,
работаете,работать,verb,,,plural,present,imperfective,second
будем,быть,verb,,,plural,future,imperfective,first
книга,книга,noun,nominative,feminine,singular,,,
книге,книга,noun,dative,feminine,singular,,,
книгу,книга,noun,accusative,feminine,singular,,,
книгой,книга,noun,instrumental,feminine,singular,,,
книг,книга,noun,genitive,feminine,plural,,,
стол,стол,noun,nominative,masculine,singular,,,
столу,стол,noun,dative,masculine,singular,,,
столом,стол,noun,instrumental,masculine,singular,,,
город,город,noun,nominative,masculine,singular,,,
городу,город,noun,dative,masculine,singular,,,
городом,город,noun,instrumental,masculine,singular,,,
окно,окно,noun,nominative,neuter,singular,,,
окну,окно,noun,dative,neuter,singular,,,
окном,окно,noun,instrumental,neuter,singular,,,
машина,машина,noun,nominative,feminine,singular,,,
машину,машина,noun,accusative,feminine,singular,,,
машиной,машина,noun,instrumental,feminine,singular,,,
машины,машина,noun,genitive,feminine,singular,,,
друг,друг,noun,nominative,masculine,singular,,,
другу,друг,noun,dative,masculine,singular,,,
другом,друг,noun,instrumental,masculine,singular,,,
человека,человек,noun,genitive,masculine,singular,,,
человеком,человек,noun,instrumental,masculine,singular,,,
автор,автор,noun,nominative,masculine,singular,,,
автором,автор,noun,instrumental,masculine,singular,,,
язык,язык,noun,nominative,masculine,singular,,,
языка,язык,noun,genitive,masculine,singular,,,
языком,язык,noun,instrumental,masculine,singular,,,
слово,слово,noun,nominative,neuter,singular,,,
слова,слово,noun,genitive,neuter,singular,,,
словом,слово,noun,instrumental,neuter,singular,,,
форма,форма,noun,nominative,feminine,singular,,,
формы,форма,noun,genitive,feminine,singular,,,
формой,форма,noun,instrumental,feminine,singular,,,
большой,большой,adjective,nominative,masculine,singular,,,
большим,большой,adjective,instrumental,masculine,singular,,,
большую,большой,adjective,accusative,feminine,singular,,,
большие,большой,adjective,nominative,,plural,,,
русского,русский,adjective,genitive,masculine,singular,,,
русскому,русский,adjective,dative,masculine,singular,,,
русской,русский,adjective,genitive,feminine,singular,,,
русскую,русский,adjective,accusative,feminine,singular,,,
русское,русский,adjective,nominative,neuter,singular,,,
русский,русский,adjective,nominative,masculine,singular,,,
доброго,добрый,adjective,genitive,masculine,singular,,,
доброму,добрый,adjective,dative,masculine,singular,,,
добрая,добрый,adjective,nominative,feminine,singular,,,
добрую,добрый,adjective,accusative,feminine,singular,,,
доброе,добрый,adjective,nominative,neuter,singular,,,
добрый,добрый,adjective,nominative,masculine,singular,,,
интересный,интересный,adjective,nominative,masculine,singular,,,
интересного,интересный,adjective,genitive,masculine,singular,,,
интересному,интересный,adjective,dative,masculine,singular,,,
интересная,интересный,adjective,nominative,feminine,singular,,,
интересную,интересный,adjective,accusative,feminine,singular,,,
интересное,интересный,adjective,nominative,neuter,singular,,,
старый,старый,adjective,nominative,masculine,singular,,,
старого,старый,adjective,genitive,masculine,singular,,,
старому,старый,adjective,dative,masculine,singular,,,
старая,старый,adjective,nominative,feminine,singular,,,
старое,старый,adjective,nominative,neuter,singular,,,
новый,новый,adjective,nominative,masculine,singular,,,
нового,новый,adjective,genitive,masculine,singular,,,
новую,новый,adjective,accusative,feminine,singular,,,
новое,новый,adjective,nominative,neuter,singular,,,
хороший,хороший,adjective,nominative,masculine,singular,,,
хорошего,хороший,adjective,genitive,masculine,singular,,,
хорошему,хороший,adjective,dative,masculine,singular,,,
хорошая,хороший,adjective,nominative,feminine,singular,,,
важный,важный,adjective,nominative,masculine,singular,,,
важного,важный,adjective,genitive,masculine,singular,,,
короткий,короткий,adjective,nominative,masculine,singular,,,
длинный,длинный,adjective,nominative,masculine,singular,,,
читаешь,читать,verb,,,singular,present,imperfective,second
читает,читать,verb,,,singular,present,imperfective,third
читаем,читать,verb,,,plural,present,imperfective,first
читаете,читать,verb,,,plural,present,imperfective,second
читают,читать,verb,,,plural,present,imperfective,third
пишешь,писать,verb,,,singular,present,imperfective,second
пишем,писать,verb,,,plural,present,imperfective,first
пишут,писать,verb,,,plural,present,imperfective,third
скажет,сказать,verb,,,singular,future,perfective,third
скажут,сказать,verb,,,plural,future,perfective,third
сделаю,сделать,verb,,,singular,future,perfective,first
сделает,сделать,verb,,,singular,future,perfective,third
говорю,говорить,verb,,,singular,present,imperfective,first
говорит,говорить,verb,,,singular,present,imperfective,third
работают,работать,verb,,,plural,present,imperfective,third
буду,быть,verb,,,singular,future,imperfective,first
будут,быть,verb,,,plural,future,imperfective,third
