text,sentiment
This plugin integrates perfectly with my workflow.,positive
Время работы батареи среднее для этого ценового диапазона.,neutral
I really enjoy using this.,positive
It has been mostly reliable with minor issues.,neutral
It works as expected.,neutral
I am disappointed.,negative
Продукт кажется хорошо спроектированным.,positive
Ich bereue diesen Kauf.,negative
It is just average.,neutral
Dieses Plugin integriert sich perfekt in meinen Workflow.,positive
Я жалею о покупке этого.,negative
Вкус насыщенный и сбалансированный.,positive
The audio quality is rich and clear.,positive
Das Produkt hat aufgehört zu funktionieren.,negative
Качество сборки среднее.,neutral
Everything is fine.,neutral
"Настройка заняла некоторое время, но в итоге все заработало.",neutral
The final result looks sloppy and unfinished.,negative
Für den täglichen Gebrauch ist es akzeptabel.,neutral
Ich bin enttäuscht.,negative
"Продукт работает, но ничем не выделяется.",neutral
Das war eine angenehme Überraschung.,positive
Ich hasse das so sehr.,negative
"Эта клавиатура нормальная, когда к ней привыкнешь.",neutral
The delivery was fast and everything was fine.,positive
Это был приятный сюрприз.,positive
"Обновление изменило несколько настроек, но с этим можно жить.",neutral
Das ist absolut schrecklich.,negative
Sehr zufrieden damit.,positive
Ich benutze das wirklich gerne.,positive
The packaging was standard and undamaged.,neutral
The final result is acceptable for basic needs.,neutral
Die Bedienelemente sind unkompliziert.,positive
It is just fine.,neutral
"Ich könnte das wieder kaufen, wenn der Preis stimmt.",neutral
I am satisfied but it could improve.,neutral
"Новая функция есть, хотя я редко ею пользуюсь.",neutral
I enjoy using this product.,positive
Ich mag diesen Artikel wirklich sehr.,positive
The product feels poorly made.,negative
Этот инструмент экономит мне много времени.,positive
Das ist herausragend und beeindruckend.,positive
This was a huge disappointment.,negative
Insgesamt war es eine durchschnittliche Erfahrung.,neutral
"Доставка была быстрее, чем обещали.",positive
The color is completely different from the listing.,negative
"The new feature is present, though I rarely use it.",neutral
Это самое лучшее.,positive
"Das ist großartig, ich bin sehr zufrieden.",positive
"Der Service war okay, nichts Besonderes.",neutral
This laptop freezes during normal use.,negative
"Setup took some time, but it eventually worked.",neutral
Навигация быстрая и легкая.,positive
Это значительно упростило мою работу.,positive
It is neither good nor bad.,neutral
Ich kann dieses Produkt sehr empfehlen.,positive
"Die App funktioniert, aber sie hat gelegentlich Verzögerungen.",neutral
The instructions were clear and easy to follow.,positive
This course covered the basics without much depth.,neutral
Качество отличное.,positive
Ich bin mit meinem Kauf zufrieden.,positive
The material feels cheap and tears easily.,negative
Very bad experience overall.,negative
The controls are inconsistent and unresponsive.,negative
"The service was okay, nothing special.",neutral
The audio quality is acceptable for casual listening.,neutral
Die Farbe und das Finish sehen in echt großartig aus.,positive
"Das ist der beste Kauf, den ich gemacht habe.",positive
Nichts Besonderes daran.,neutral
Управление непоследовательное и неотзывчивое.,negative
The audio quality is distorted and noisy.,negative
Я глубоко недоволен этой покупкой.,negative
"Die neue Funktion ist vorhanden, auch wenn ich sie selten nutze.",neutral
Опыт средний.,neutral
Производительность стабильная при обычных нагрузках.,neutral
Производительность сильно падает даже при легком использовании.,negative
"Ich bin zufrieden, aber es könnte besser sein.",neutral
"Материал кажется обычным, ничего выдающегося.",neutral
Die Erfahrung ist durchschnittlich.,neutral
This keyboard has sticky keys and missed inputs.,negative
It was an average experience overall.,neutral
I hate how slow this app is.,negative
Das Design wirkt veraltet und unbeholfen.,negative
Das ist es nicht wert.,negative
Diese Tastatur ist bei langen Sitzungen bequem.,positive
"Инструкции были краткими, но понятными.",neutral
Я недоволен этой покупкой.,negative
I am impressed by the battery life.,positive
Ich schätze die durchdachte Verpackung.,positive
This product is decent for the price.,neutral
It works as intended.,neutral
Es ist nur ein Standardprodukt.,neutral
Die Einrichtung war einfach und alles funktionierte beim ersten Versuch.,positive
Es ist einfach in Ordnung.,neutral
"Das ist genau das, was ich gebraucht habe.",positive
Setup was simple and everything worked on first try.,positive
This camera produces blurry images even in good light.,negative
"Обновление исправило все проблемы, которые у меня были.",positive
Интерфейс чистый и интуитивный.,positive
I like how reliable it has been so far.,positive
Я искренне доволен этой покупкой.,positive
Dieser Kurs hat die Grundlagen ohne große Tiefe behandelt.,neutral
Эта камера работает как ожидалось при дневном свете.,neutral
Качество звука насыщенное и чистое.,positive
Customer support ignored my messages for days.,negative
Я не куплю это снова.,negative
Dieses Buch ist fantastisch und gut geschrieben.,positive
Управление понятное и прямолинейное.,positive
This was about what I expected.,neutral
Die Navigation ist nach etwas Übung okay.,neutral
Nothing too special here.,neutral
Общая ценность справедлива для этой цены.,neutral
The experience was awful.,negative
Shipping was delayed twice without explanation.,negative
Это полный провал.,negative
"Das Update hat ein paar Einstellungen geändert, aber es ist handhabbar.",neutral
Так называемые улучшения сделали все хуже.,negative
The controls are straightforward.,positive
The item is useless and broken.,negative
Die App fühlt sich flüssig und reaktionsschnell an.,positive
I feel neutral about this update.,neutral
Diese Kamera produziert selbst bei gutem Licht unscharfe Bilder.,negative
Это почти не повлияло на мою работу.,neutral
"Es war größtenteils zuverlässig, mit kleineren Problemen.",neutral
Материал кажется дешевым и легко рвется.,negative
Das Endergebnis ist für grundlegende Bedürfnisse akzeptabel.,neutral
Die Verpackung kam zerrissen und schlecht geschützt an.,negative
Die Erfahrung war insgesamt in Ordnung.,neutral
The instructions were brief but understandable.,neutral
Ich kann es sehr empfehlen.,positive
Das war eine riesige Enttäuschung.,negative
The movie was really enjoyable and fun.,positive
It is just a standard product.,neutral
Этот ноутбук кажется быстрым и надежным.,positive
"Die Einrichtung hat etwas Zeit gekostet, aber am Ende hat es funktioniert.",neutral
I hate this so much.,negative
Я бы не купил это снова.,negative
Die Navigation ist schnell und mühelos.,positive
Der Kundensupport hat meine Nachrichten tagelang ignoriert.,negative
Интерфейс перегруженный и раздражающий.,negative
I am happy with the overall value.,positive
"Он был в основном надежным, с мелкими проблемами.",neutral
It is not good at all.,negative
Die Benutzeroberfläche ist verwirrend und schwer zu bedienen.,negative
The instructions were confusing and incomplete.,negative
The overall value is fair for the price.,neutral
Производительность отличная под высокой нагрузкой.,positive
Процесс оформления заказа был быстрым и простым.,positive
"Die Benutzeroberfläche ist nutzbar, sobald man weiß, wo alles ist.",neutral
Für mich funktioniert es gut.,neutral
Erstaunliche Leistung und tolles Design.,positive
The overall value is poor for what you pay.,negative
Die Einrichtung war verwirrend und ist mehrfach fehlgeschlagen.,negative
Ich liebe es so sehr.,positive
Я ценю продуманную упаковку.,positive
Dieser Service hat meine Erwartungen übertroffen.,positive
Das Produkt wirkt gut verarbeitet.,positive
The experience was terrible.,negative
Экран тусклый и его трудно читать.,negative
The app crashes constantly.,negative
The packaging arrived torn and poorly protected.,negative
Das ist wunderbar.,positive
Инструкции были запутанными и неполными.,negative
Качество звука искаженное и шумное.,negative
"Я жалею, что купил это.",negative
Это совсем не хорошо.,negative
The product feels well engineered.,positive
Insgesamt eine sehr schlechte Erfahrung.,negative
Die Benutzeroberfläche ist überladen und frustrierend.,negative
Es war vom ersten Tag an unzuverlässig.,negative
Es funktioniert gut genug.,neutral
Ich bin damit okay.,neutral
Эта клавиатура удобна для долгих сессий.,positive
I am happy with my purchase.,positive
This is a complete failure.,negative
This is the best ever.,positive
Процесс оформления заказа неоднократно завершался неудачей.,negative
I am satisfied with the results.,positive
Экран яркий и насыщенный.,positive
Die Navigation ist langsam und unnötig kompliziert.,negative
"Das war ungefähr das, was ich erwartet habe.",neutral
Ich schätze den schnellen Support wirklich.,positive
Das ist das Geld nicht wert.,negative
Он работает хорошо.,positive
У этой клавиатуры залипающие клавиши и пропуски нажатий.,negative
Nothing special about it.,neutral
This camera performs as expected in daylight.,neutral
Die neue Funktion ist wirklich nützlich.,positive
Setup was confusing and failed multiple times.,negative
Ich bin damit äußerst zufrieden.,positive
Я точно купил бы это снова.,positive
Die Leistung ist bei normalen Arbeitslasten stabil.,neutral
Dieser Laptop friert bei normaler Nutzung ein.,negative
Die Anweisungen waren klar und leicht zu befolgen.,positive
The app crashes every time I open it.,negative
Das ist das Beste überhaupt.,positive
Amazing performance and great design.,positive
I really love this item.,positive
Dieses Produkt ist für den Preis ordentlich.,neutral
Упаковка была стандартной и без повреждений.,neutral
Diese Kamera funktioniert bei Tageslicht wie erwartet.,neutral
Dieser Laptop ist für einfache Büroaufgaben in Ordnung.,neutral
Батарея разряжается всего за пару часов.,negative
"Последнее обновление удалило функции, на которые я полагаюсь.",negative
Der Kundensupport hat mein Problem schnell gelöst.,positive
Для моих нужд это в целом нормально.,neutral
Performance is excellent under heavy load.,positive
Absolutely wonderful experience.,positive
Ich bin mit diesem Kauf unzufrieden.,negative
The design looks outdated and awkward.,negative
Это замечательно.,positive
Мне это очень нравится.,positive
Это просто средне.,neutral
"Diese Tastatur ist okay, wenn man sich daran gewöhnt hat.",neutral
Он работает похоже на другие варианты в этой категории.,neutral
Поддержка клиентов игнорировала мои сообщения несколько дней.,negative
Es ist nur durchschnittlich.,neutral
"Это было примерно тем, чего я ожидал.",neutral
Новая функция сломана и непригодна к использованию.,negative
I love how easy this system is.,positive
Ich werde das nicht noch einmal kaufen.,negative
This laptop feels fast and reliable.,positive
"Ich bereue, das gekauft zu haben.",negative
The interface is cluttered and frustrating.,negative
Время отклика отличное.,positive
I am not impressed at all.,negative
Это не стоит своих денег.,negative
"Das ist die schlimmste Erfahrung, die ich je gemacht habe.",negative
Он был ненадежным с первого дня.,negative
Улучшения очевидны и ценны.,positive
"Дизайн простой, но функциональный.",neutral
Das ist ein kompletter Fehlschlag.,negative
Навигация нормальная после небольшой практики.,neutral
Shipping arrived on the scheduled date.,neutral
"Цвет полностью отличается от того, что в объявлении.",negative
The battery life is average for this price range.,neutral
Управление нормальное после настройки.,neutral
Der Film war wirklich unterhaltsam und macht Spaß.,positive
"Die Farbe ist etwas anders, aber akzeptabel.",neutral
Вкус неприятный и горький.,negative
I am very pleased with this.,positive
Shipping was quicker than promised.,positive
Das ist frustrierend und nervig.,negative
"Das Update hat jedes Problem behoben, das ich hatte.",positive
Es funktioniert nicht richtig.,negative
It works fine for me.,neutral
Der Akku ist schon nach ein paar Stunden leer.,negative
Navigation is okay after some practice.,neutral
Navigation is fast and effortless.,positive
Alles ist in Ordnung.,neutral
Очень доволен этим.,positive
Все в этом выглядит сделанным наспех.,negative
"Поддержка клиентов ответила, но мне все еще нужно ждать.",neutral
Настройка была запутанной и несколько раз завершалась неудачей.,negative
Этот сервис оправдал мои базовые ожидания.,neutral
Diese Tastatur hat klemmende Tasten und verpasst Eingaben.,negative
Этот курс охватил основы без особой глубины.,neutral
This course was disorganized and hard to follow.,negative
Мне нравится пользоваться этим продуктом.,positive
Ich bin von der Qualität sehr enttäuscht.,negative
Этот ноутбук зависает при обычном использовании.,negative
It does not work properly.,negative
Die Benutzeroberfläche ist sauber und intuitiv.,positive
I am extremely happy with this.,positive
Материал кажется премиальным и прочным.,positive
Экран нормальный в помещении.,neutral
Это абсолютно ужасно.,negative
Вкус мягкий и обычный.,neutral
The product broke after two days.,negative
Die Lieferung war schnell und alles war in Ordnung.,positive
Продукт перестал работать.,negative
Performance drops badly under light use.,negative
Инструкции были понятными и простыми для выполнения.,positive
This is absolutely terrible.,negative
Die Qualität ist hervorragend.,positive
Diese Kamera macht wunderschöne Fotos.,positive
Ich würde das nicht noch einmal kaufen.,negative
Der Gesamtwert ist für den Preis fair.,neutral
Я очень доволен этим.,positive
The controls are fine once configured.,neutral
The interface is usable once you learn where things are.,neutral
"Улучшения незначительные, но заметные.",neutral
Это того не стоит.,negative
Это выдающееся и впечатляющее.,positive
