text,sentiment
"Мне очень нравится этот продукт, он работает идеально.",positive
"Это худший опыт, который у меня когда-либо был.",negative
"Фильм был действительно приятным и веселым.",positive
"Я очень разочарован качеством.",negative
"Сервис был нормальным, ничего особенного.",neutral
"Эта книга фантастическая и хорошо написана.",positive
"Я ненавижу, насколько медленно работает это приложение.",negative
"Доставка была быстрой, и все было в порядке.",positive
"Я нейтрально отношусь к этому обновлению.",neutral
"Это потрясающе, я очень доволен.",positive
"Продукт сломался через два дня.",negative
"В целом это был средний опыт.",neutral
"Я действительно ценю быструю поддержку.",positive
"Интерфейс запутанный и сложный в использовании.",negative
"Я доволен своей покупкой.",positive
"Ничего впечатляющего, кажется обычным.",neutral
"Это именно то, что мне было нужно.",positive
"Опыт был ужасным.",negative
"Это просто стандартный продукт.",neutral
"Абсолютно замечательный опыт.",positive
"Приложение постоянно вылетает.",negative
"Я доволен, но можно улучшить.",neutral
"Это лучшая покупка, которую я сделал.",positive
"Качество плохое и дешевое.",negative
"Работает достаточно хорошо.",neutral
"Я совсем не впечатлен.",negative
"Этот продукт достойный за свою цену.",neutral
"Мне нравится, насколько проста эта система.",positive
"Результаты разочаровали.",negative
"Все работает плавно.",positive
"Я чрезвычайно доволен этим.",positive
"Этот товар бесполезен и сломан.",negative
"В целом опыт был нормальным.",neutral
"Очень рекомендую этот продукт.",positive
"Он не работает должным образом.",negative
"Я нормально к этому отношусь.",neutral
"Это отличное качество.",positive
"Очень плохой опыт в целом.",negative
"Здесь нет ничего особенного.",neutral
"Я доволен результатами.",positive
"Это раздражает и бесит.",negative
"Это просто нормально.",neutral
"Потрясающая производительность и отличный дизайн.",positive
"Я жалею, что купил это.",negative
"Это приемлемо для ежедневного использования.",neutral
"Мне действительно нравится этим пользоваться.",positive
"Это не стоит своих денег.",negative
"Опыт средний.",neutral
"Я очень доволен этим.",positive
"Продукт перестал работать.",negative
"Это ни хорошо, ни плохо.",neutral
"Это выдающееся и впечатляющее.",positive
"Я недоволен этой покупкой.",negative
"Работает как и ожидалось.",neutral
"Я настоятельно это рекомендую.",positive
"Это полный провал.",negative
"Это нормально для базового использования.",neutral
"Мне это очень нравится.",positive
"Я бы не купил это снова.",negative
"Все в порядке.",neutral
"Мне действительно нравится этот товар.",positive
"Это абсолютно ужасно.",negative
"Для меня это работает нормально.",neutral
"Я очень доволен этим.",positive
"Я жалею о покупке этого.",negative
"Качество отличное.",positive
"Это совсем не хорошо.",negative
"В этом нет ничего особенного.",neutral
"Мне нравится пользоваться этим продуктом.",positive
"Опыт был отвратительным.",negative
"Ну, это нормально, наверное.",neutral
"Это замечательно.",positive
"Я разочарован.",negative
"Он работает хорошо.",positive
"Это просто средне.",neutral
"Это самое лучшее.",positive
"Я так сильно это ненавижу.",negative
"Работает как задумано.",neutral
"Очень доволен этим.",positive
"Это того не стоит.",negative
"Обновление исправило все проблемы, которые у меня были.",positive
"Обновление изменило несколько настроек, но с этим можно жить.",neutral
"Обновление добавило новые баги и сильно все замедлило.",negative
"Поддержка клиентов быстро решила мою проблему.",positive
"Поддержка клиентов ответила, но мне все еще нужно ждать.",neutral
"Поддержка клиентов игнорировала мои сообщения несколько дней.",negative
"Этот ноутбук кажется быстрым и надежным.",positive
"Этот ноутбук подходит для базовых офисных задач.",neutral
"Этот ноутбук зависает при обычном использовании.",negative
"Я впечатлен временем работы батареи.",positive
"Время работы батареи среднее для этого ценового диапазона.",neutral
"Батарея разряжается всего за пару часов.",negative
"Качество звука насыщенное и чистое.",positive
"Качество звука приемлемое для повседневного прослушивания.",neutral
"Качество звука искаженное и шумное.",negative
"Настройка была простой, и все заработало с первой попытки.",positive
"Настройка заняла некоторое время, но в итоге все заработало.",neutral
"Настройка была запутанной и несколько раз завершалась неудачей.",negative
"Эта камера делает красивые фотографии.",positive
"Эта камера работает как ожидалось при дневном свете.",neutral
"Эта камера выдает размытые снимки даже при хорошем освещении.",negative
"Интерфейс чистый и интуитивный.",positive
"Интерфейс удобен, когда разберешься, где что находится.",neutral
"Интерфейс перегруженный и раздражающий.",negative
"Доставка была быстрее, чем обещали.",positive
"Доставка пришла в запланированную дату.",neutral
"Доставку дважды задержали без объяснений.",negative
"Материал кажется премиальным и прочным.",positive
"Материал кажется обычным, ничего выдающегося.",neutral
"Материал кажется дешевым и легко рвется.",negative
"Я точно купил бы это снова.",positive
"Я, возможно, купил бы это снова, если цена будет подходящей.",neutral
"Я не куплю это снова.",negative
"Производительность отличная под высокой нагрузкой.",positive
"Производительность стабильная при обычных нагрузках.",neutral
"Производительность сильно падает даже при легком использовании.",negative
"Дизайн выглядит современно и элегантно.",positive
"Дизайн простой, но функциональный.",neutral
"Дизайн выглядит устаревшим и неуклюжим.",negative
"Этот курс очень ясно объяснил тему.",positive
"Этот курс охватил основы без особой глубины.",neutral
"Этот курс был неорганизованным и трудным для понимания.",negative
"Приложение ощущается плавным и отзывчивым.",positive
"Приложение работает, но иногда подтормаживает.",neutral
"Приложение вылетает каждый раз, когда я его открываю.",negative
"Эта клавиатура удобна для долгих сессий.",positive
"Эта клавиатура нормальная, когда к ней привыкнешь.",neutral
"У этой клавиатуры залипающие клавиши и пропуски нажатий.",negative
"Я ценю продуманную упаковку.",positive
"Упаковка была стандартной и без повреждений.",neutral
"Упаковка пришла порванной и плохо защищенной.",negative
"Инструкции были понятными и простыми для выполнения.",positive
"Инструкции были краткими, но понятными.",neutral
"Инструкции были запутанными и неполными.",negative
"Этот сервис превзошел мои ожидания.",positive
"Этот сервис оправдал мои базовые ожидания.",neutral
"Этот сервис не предоставил обещанного.",negative
"Цвет и отделка вживую выглядят отлично.",positive
"Цвет немного отличается, но приемлем.",neutral
"Цвет полностью отличается от того, что в объявлении.",negative
"Новая функция действительно полезна.",positive
"Новая функция есть, хотя я редко ею пользуюсь.",neutral
"Новая функция сломана и непригодна к использованию.",negative
"Я доволен общей ценностью.",positive
"Общая ценность справедлива для этой цены.",neutral
"Общая ценность низкая за такие деньги.",negative
"Навигация быстрая и легкая.",positive
"Навигация нормальная после небольшой практики.",neutral
"Навигация медленная и излишне сложная.",negative
"Продукт кажется хорошо спроектированным.",positive
"Продукт работает, но ничем не выделяется.",neutral
"Продукт кажется плохо сделанным.",negative
"Это был приятный сюрприз.",positive
"Это было примерно тем, чего я ожидал.",neutral
"Это было огромное разочарование.",negative
"Мне нравится, насколько надежным он был до сих пор.",positive
"Он был в основном надежным, с мелкими проблемами.",neutral
"Он был ненадежным с первого дня.",negative
"Управление понятное и прямолинейное.",positive
"Управление нормальное после настройки.",neutral
"Управление непоследовательное и неотзывчивое.",negative
"Итоговый результат выглядит фантастически.",positive
"Итоговый результат приемлем для базовых нужд.",neutral
"Итоговый результат выглядит небрежным и незавершенным.",negative
"Этот плагин идеально интегрируется в мой рабочий процесс.",positive
"Этот плагин интегрируется с небольшой ручной настройкой.",neutral
"Этот плагин ломает мой рабочий процесс.",negative
"Экран яркий и насыщенный.",positive
"Экран нормальный в помещении.",neutral
"Экран тусклый и его трудно читать.",negative
"Все в этом выглядит отполированным.",positive
"Большинство частей в порядке, с несколькими шероховатостями.",neutral
"Все в этом выглядит сделанным наспех.",negative
"Я искренне доволен этой покупкой.",positive
"Я ни доволен, ни недоволен.",neutral
"Я глубоко недоволен этой покупкой.",negative
"Процесс оформления заказа был быстрым и простым.",positive
"Процесс оформления заказа сработал после одной повторной попытки.",neutral
"Процесс оформления заказа неоднократно завершался неудачей.",negative
"Этот инструмент экономит мне много времени.",positive
"Этот инструмент работает только для простых задач.",neutral
